"","name","Base Currency","ISIN","secid","Global Broad Category Group","Morningstar Category","Firm Investment Objective","Strategy Name","Domicile","Fund Legal Structure","Firm Name","Branding Name","Inception Date","Obsolete Date","Status","Manager Name","Manager History","Manager Tenure (Longest)","Manager Tenure (Average)","Primary Prospectus Benchmark","Net Assets Date","Net Assets - Share Class USD","Fund Size Date","Fund Size USD","Portfolio Date","Turnover Ratio % Date","Turnover Ratio %","...28","Gender","Start Date for Managed Investment","Lockup Months","Minimum Investment (Base Currency)","Minimum Initial Unit","Uses Leverage","Avg Leverage","Management Fee","Max Management Fee","Performance Fee","Performance Fee Note","Redemption Fee","Hurdle Rate","High Watermark","Beta Hedge Extent"
"119","BDC Fund II","US Dollar","US05538Y1055","F00000IR4D","Alternative","HF U.S. Long/Short Equity",NA,"Current Income & capital appreciation","United States","Partnership (3C1)","Southland Capital Management, LLC","Southland Capital Management",2009-10-01,2020-05-28,0,NA,"[2009-10-01 -- 2020-05-28] Nicholas Marshi;[2009-10-01 -- 2020-05-28] William Hansen;",NA,NA,NA,2019-12-31,3810547,2019-12-31,3810547,2009-12-31,NA,NA,NA,NA,NA,0,5e+05,"Monetary",NA,NA,2,NA,20,NA,NA,0,"Yes",NA
"120","BDI Partners, LP","US Dollar",NA,"FOUSA06UU9","Alternative","HF Global Long/Short Equity",NA,"Global Equity L/S-o","United States","Partnership (3C7)","BDI Capital Management, LLC",NA,2007-01-03,2010-09-21,0,NA,NA,NA,NA,"S&P 500 PR",2010-02-28,1.5e+07,NA,NA,NA,NA,NA,NA,NA,NA,0,1e+06,"Monetary",NA,NA,2,NA,20,NA,NA,NA,"Yes",NA
"121","Crown Investment Partners LP","US Dollar",NA,"FHUSA04FCF","Alternative","HF Global Long/Short Equity",NA,"Global Equity-o","United States","Exempted Limited Partnership","Crown Advisors, LLC","Crown Advisors",2002-04-01,2016-10-26,0,NA,"[2002-04-01 -- 2014-05-29] Chris H. Pauli;[2002-04-01 -- 2010-02-26] Jerry S. Carter;",NA,NA,"S&P 500 PR",2014-12-31,1e+07,NA,NA,NA,NA,NA,NA,NA,NA,12,250000,"Monetary","Yes",0,2,2,20,NA,0,0,"Yes",NA
"122","Benchmark Plus InstPartnersRealAlpha LLC","US Dollar",NA,"FHUSA04BD1","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds Benchmark Plus-o","United States","Limited Liability Company","Benchmark Plus Management, LLC","Benchmark Plus",2004-06-01,2018-01-25,0,"Scott Franzblau;Robert Ferguson;","[1997-12-01 -- ] Scott Franzblau;[1996-01-01 -- ] Robert Ferguson;",24.67,23.71,"USTREAS Stat US T-Bill 90 Day TR",NA,NA,NA,NA,2010-12-31,NA,NA,NA,NA,1996-01-01,0,5e+06,"Monetary",NA,NA,1,1,15,NA,0,NA,"Yes",NA
"123","Benchmark Plus L/S Select Real Alpha","US Dollar",NA,"FOUSA068D0","Alternative","HF Fund of Funds - Equity",NA,"FOF - L/S Select-o","United States","Partnership (3C1)","Benchmark Plus Management, LLC","Benchmark Plus",2006-01-03,2010-08-31,0,NA,"[1998-01-01 -- 2010-08-31] Scott Franzblau;[1996-01-01 -- 2010-08-31] Robert Ferguson;",NA,NA,"S&P 500 TR USD",2008-08-31,215238432,NA,NA,NA,NA,NA,NA,NA,NA,0,5e+06,"Monetary",NA,NA,1,1,15,"Standard & Poor's 500",NA,NA,"Yes",NA
"124","DB Alpamayo Emerging Mkt Value Fund LP","US Dollar",NA,"FOUSA05L0A","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity-o","United States","Unstructured Hedge Fund","DB Advisors Hedge Fund Group",NA,2005-06-04,2011-03-31,0,NA,"[2005-06-04 -- 2011-03-31] Bertrand Saliba",NA,NA,NA,2011-03-31,1501788,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary","Yes",0,2,2,20,NA,0,NA,"Yes",NA
"125","DRMM Total Return Fund I LP","US Dollar",NA,"FHUSA04FAL","Alternative","HF U.S. Long/Short Equity",NA,"US Equity - Total Return-o","United States","Partnership (3C1)","Davis-Ross Investment Advisers",NA,2003-12-01,2011-09-19,0,NA,"[2003-12-01 -- 2011-09-19] Mark A. Davis;[2003-12-01 -- 2007-12-31] Todd M. Hockman;",NA,NA,"S&P 500 TR USD",2011-01-31,11226754,NA,NA,NA,2006-12-31,25,NA,NA,NA,0,250000,"Monetary","Yes",0,1,1,20,NA,0,0,"Yes","Partial"
"126","Bennett Partners LP","US Dollar",NA,"FHUSA04GQK","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity-o","United States","Partnership (3C1)","Bennett Asset Management",NA,2000-09-30,2010-11-18,0,NA,"[2000-07-31 -- 2010-11-18] Adam Silver",NA,NA,"S&P 500 PR",2010-04-30,6e+06,NA,NA,2006-12-31,2006-12-31,100,NA,NA,NA,0,250000,"Monetary","No",NA,1,1,20,NA,NA,NA,"Yes",NA
"127","Berens Capital Fund, Ltd.","US Dollar",NA,"FOUSA05KXY","Alternative","HF Fund of Funds - Equity",NA,"Capital Partners-o","United States","Partnership (3C1)","Berens Capital, LLC","Berens Capital",2001-05-01,2017-08-17,0,"Rodney Berens;Timothy Schilt;","[2001-05-01 -- ] Rodney Berens;[2001-05-01 -- ] Timothy Schilt;",19.33,19.33,NA,2017-06-30,30372340,NA,NA,NA,2006-12-31,15,NA,NA,2001-05-01,12,1e+06,"Monetary","No",NA,1,1,10,NA,NA,0,"Yes",NA
"128","Berens Capital Partners, LP","US Dollar",NA,"FOUSA05KXZ","Alternative","HF Fund of Funds - Equity",NA,"Capital Partners-o","United States","Partnership (3C1)","Berens Capital, LLC","Berens Capital",2000-11-01,2017-08-17,0,NA,"[2000-11-01 -- 2017-08-17] Rodney Berens;[2000-11-01 -- 2017-08-17] Timothy Schilt;",NA,NA,NA,2017-06-30,42003423,NA,NA,NA,2006-12-31,15,NA,NA,NA,12,1e+06,"Monetary","No",NA,1,1,10,NA,NA,0,"Yes",NA
"129","Berens Insurance Dedicated Fund LLC","US Dollar",NA,"FOUSA06JHN","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds - Equities-o","United States","Unstructured Hedge Fund","Berens Capital, LLC","Berens Capital",2005-10-01,2011-08-19,0,NA,"[2005-10-01 -- 2011-08-19] Rodney Berens;[2005-10-01 -- 2011-08-19] Raymond T. Schilt;",NA,NA,NA,2011-07-29,2.2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,"Monetary","No",NA,1,1,10,NA,NA,NA,"No",NA
"130","BG Capital Fund","US Dollar",NA,"FOUSA06A6L","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Limited Liability Company","BG Capital Management LLC",NA,2005-05-01,2010-06-21,0,NA,"[2005-05-01 -- 2010-06-21] Bernard Gross",NA,NA,"Russell 3000 TR USD",2008-11-30,8e+06,NA,NA,NA,2006-12-31,25,NA,NA,NA,0,250000,"Monetary","No",NA,2,2,20,NA,NA,0,"Yes",NA
"131","Black Diamond Rel Val LP (Carlson)","US Dollar",NA,"FOUSA06JIV","Alternative","HF Equity Market Neutral",NA,"Equity Arbitrage","United States","Partnership (3C7)","Carlson Capital LP.","Carlson Capital",1998-02-01,NA,1,NA,NA,NA,NA,NA,NA,NA,2020-08-31,3.5e+07,NA,2006-12-31,0,NA,NA,NA,NA,1e+06,"Monetary","Yes",NA,2,1.5,20,NA,NA,NA,"Yes","Full"
"132","BlackRock Eurasian Frontiers Fund","US Dollar",NA,"FOUSA06JHZ","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity-o","Cayman Islands","Limited Liability Company","BlackRock Investment Management (UK) Ltd.","BlackRock",2006-08-01,2013-01-02,0,NA,"[2006-08-01 -- 2013-01-02] Alain Bourrier;[2006-08-01 -- 2013-01-02] Plamen Monovski;",NA,NA,NA,2011-09-30,1.2e+07,NA,NA,NA,2006-12-31,50,NA,NA,NA,0,1e+06,"Monetary","Yes",NA,2,2,20,NA,NA,NA,"Yes",NA
"133","BlackRock Natural Resources Hedge Fund","US Dollar","KYG1315W1428","FOUSA06JI9","Alternative","HF Emerging Markets Long/Short Equity","Since our founding in 1988, BlackRock’s core philosophy has been grounded in the belief that experienced investment professionals using a disciplined process and sophisticated analytical tools can consistently add value to client portfolios. With this as a framework, BlackRock has assembled teams of investment professionals with significant expertise in global capital markets. Through BlackRock Solutions, we continue to invest substantial resources to the ongoing development of our technology and analytic capabilities, for both internal users and BlackRock Solutions clients. Our focus on investment excellence and advanced proprietary analytics is complemented by an unwavering, senior-level commitment to service, resulting in dynamic client relationships and enabling us to assist clients with all aspects of their investment needs.
 
In light of the size, scope, and expanded global perspective of BlackRock, a consistent, interconnected “one BlackRock” approach is vital.

Mission Statement
Our mission is to create a better financial future for our clients. As we pursue that mission, we are guided by our culture and a set of principles that ensure we never forget what we stand for.
 
We are a Fiduciary to Our Clients. Their interests come first—always. We speak with the courage of our convictions. We say what we do and do what we say. We have a responsibility to be the voice of the investor, and we represent each client fairly and equally.
 
We are Passionate about Performance. We are passionate about our work and intensely focused on performing at the highest levels. Our success requires that we out-think and out-work our competitors. We prize strong subject matter expertise and an insatiable appetite to learn.
 
We are One BlackRock. We know that the best solutions result from the ideas and contributions of a diverse team of partners. Diversity strengthens us and delivers better results for our clients. We expect our employees to have a strong working knowledge of the firm beyond their core responsibilities. Constant communication is critical to our success.
 
We are Innovators. Continuous innovation helps us bring the best of BlackRock to our clients. Innovation requires us to be respectfully anti-bureaucratic, to challenge the status quo and not be afraid of failure. We are proud of our long history of innovation, and that history of introducing new and innovative approaches across our entire business has been the foundation of our success.","Natural Resources-o","Cayman Islands","Limited Liability Company","BlackRock Inc","BlackRock",2003-12-01,2013-08-30,0,NA,"[2003-12-01 -- 2013-08-30] Graham Birch",NA,NA,NA,2013-08-30,2.9e+07,NA,NA,NA,2006-12-31,60,NA,NA,NA,0,1e+05,"Monetary","Yes",NA,1.5,1.5,20,NA,NA,NA,"Yes",NA
"134","Blazek Crow Holdings Capital, L.P.","US Dollar",NA,"F00000HC00","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"L/S-o","United States","Partnership (3C1)","Blazek Capital Management, L.L.C.","Blazek",2008-09-03,2011-10-31,0,NA,"[2008-09-03 -- 2011-10-31] Philip T. Blazek",NA,NA,NA,2011-10-31,19237802,NA,NA,2009-12-31,NA,NA,NA,NA,NA,NA,1e+06,"Monetary",NA,NA,1.5,NA,20,NA,5,NA,NA,NA
"135","DUNBAR Capital International Ltd","US Dollar",NA,"FHUSA04FJT","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds-o","Cayman Islands","Corporation","Dunbar Capital Management LLC","Dunbar Capital Management",2001-06-01,2011-07-27,0,NA,NA,NA,NA,NA,2010-12-31,62900000,NA,NA,NA,NA,NA,NA,NA,NA,12,250000,"Monetary","No",0,1.5,1.5,15,NA,NA,NA,"Yes",NA
"136","DUNBAR Capital Management LLC","US Dollar",NA,"FHUSA04FJU","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds-o","United States","Limited Liability Company","Dunbar Capital Management LLC","Dunbar Capital Management",1996-07-01,2016-05-31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,250000,"Monetary","No",0,1,1,15,NA,NA,6,"Yes",NA
"137","Dunlap Capital Partners LP","US Dollar",NA,"FHUSA04AYN","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Dunlap Equity Management Inc",NA,1995-02-01,2013-04-01,0,NA,"[1995-02-01 -- 2013-04-01] Carter W. Dunlap",NA,NA,"Russell 2000 TR USD",2013-03-31,27500000,NA,NA,2006-12-31,2006-12-31,50,NA,NA,NA,12,5e+05,"Monetary","Yes",0,1,1,15,NA,NA,NA,"Yes",NA
"138","Emancipation Capital LP","US Dollar",NA,"FHUSA04FNE","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Emancipation Capital","Emancipation Capital",2003-08-01,2014-12-30,0,NA,"[2003-08-01 -- 2014-12-30] Charles Frumberg",NA,NA,"NASDAQ Composite PR USD",2008-12-31,3.4e+07,NA,NA,2008-12-31,2008-12-31,120,NA,NA,NA,18,1e+06,"Monetary","Yes",0,1.5,1.5,20,NA,NA,0,"Yes",NA
"139","Financial Ascent Limited Partnership","US Dollar",NA,"FHUSA04F0T","Equity","HF Long-Only Equity","First and foremost, the firm’s overall business strategy is intensely focused on producing above average returns for our investors by generating market returns in “up” markets and outperforming in “down” markets. The firm follows a disciplined private market valuation process that generates buy and sell targets for a defined universe of predictable and understandable businesses. The ability to grow the firm is effectively tied to the capacity of the firm’s investment professionals to generate attractive investment ideas. While the firm does not have a hard ceiling in terms of AUM at this point, its management believes that a doubling of its AUM would not impair its investment results. The firm’s target investment partner account is $1 million and above, in both partnership and separately managed account formats.","U.S. Equity-o","United States","Partnership (3C1)","KDI Capital Partners LLC","Kdi",2002-03-01,2016-08-26,0,NA,"[2002-03-01 -- 2016-08-26] John Day;[2004-09-27 -- 2016-08-26] Sheldon Fox;",NA,NA,"S&P 500 TR USD",2016-03-31,29022615,NA,NA,2006-12-31,2006-12-31,60,NA,NA,NA,0,5e+06,"Monetary","No",0,1,1,20,NA,NA,NA,"No",NA
"140","Bluefin Investors, LP","US Dollar",NA,"FOUSA06M1H","Alternative","HF U.S. Long/Short Equity",NA,"US Equity-o","United States","Partnership (3C7)","Bluefin Investment Management LLC","Bluefin",2007-05-01,2013-03-01,0,NA,"[2007-05-01 -- 2013-03-01] Matt Todorow;[2007-05-01 -- 2013-03-01] Marc Balcer;",NA,NA,"S&P 500 TR USD",2008-08-31,83400000,NA,NA,2006-12-31,NA,NA,NA,NA,NA,12,1e+06,"Monetary","Yes",NA,1.5,1.5,20,NA,3,0,"Yes",NA
"141","BM Greater China Asia Fund","US Dollar",NA,"FHUSA04C7R","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity-o","Curaçao","Corporation","Magnum US Investments LC","Magnum US Investments",2004-03-01,2012-08-01,0,NA,"[2004-03-01 -- 2012-08-01] Lee Kwok Ning;[2004-03-01 -- 2012-08-01] Lin Wai Yan;",NA,NA,"MSCI EM PR USD",2012-06-30,3e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,"Monetary",NA,NA,2,2,20,"Self",0,10,"No",NA
"142","BNP Paribas China Optima Fund","US Dollar","KYG006641057","FOUSA06UUB","Alternative","HF Emerging Markets Long/Short Equity",NA,"Greater China Alpha Advantage-o","Cayman Islands","Open Ended Investment Company","ABN AMRO Asset Management Asia Ltd","ABN AMRO",2007-12-03,2012-04-30,0,NA,NA,NA,NA,NA,2012-03-31,4500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,110000,"Monetary",NA,NA,1.5,1.5,20,NA,NA,NA,"Yes",NA
"143","Bomgaars Investments","US Dollar",NA,"F00000H6IC","Alternative","HF U.S. Long/Short Equity",NA,"Bomgaars Investments-o","United States","Limited Liability Company","Bomgaars Investments, LLC","Bomgaars",2007-02-28,2011-07-29,0,NA,"[2007-02-28 -- 2011-07-29] Michael Bomgaars",NA,NA,NA,2011-07-31,994000,NA,NA,NA,NA,NA,NA,NA,NA,12,50000,"Monetary",NA,NA,1,NA,20,NA,0,NA,"Yes",NA
"144","Bonaparte Partners, LP","US Dollar",NA,"FOUSA08MWO","Alternative","HF U.S. Long/Short Equity",NA,"Bonaparte Partners-o","United States","Partnership (3C1)","Mainstream Investment Advisers LLC",NA,1994-09-01,2012-04-30,0,NA,"[2006-09-05 -- 2012-04-30] Martin McClelland;[2006-09-05 -- 2012-10-21] Steven T. Naiser;[2006-09-05 -- 2012-04-30] Charles F. Craig;[2006-09-05 -- 2010-12-31] Sam Ellington;",NA,NA,"S&P 500 Composite PR USD",2012-03-31,11320133,NA,NA,NA,NA,NA,NA,NA,NA,0,2e+05,"Monetary",NA,NA,1,NA,20,"Hurdle S&P500",1,NA,"Yes",NA
"145","Bostwick Compound LP","US Dollar",NA,"FOUSA06M2H","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - Bostwick Compound-o","Cayman Islands","Partnership (3C1)","Bostwick Capital LLC","Bostwick Capital",2006-10-01,2013-09-30,0,NA,"[2006-10-01 -- 2013-09-30] Thomas S. Bostwick",NA,NA,"S&P 500 PR",2013-09-30,1.51e+08,NA,NA,2006-12-31,NA,NA,NA,NA,NA,12,1e+06,"Monetary","No",NA,1,1,10,NA,3,NA,"Yes",NA
"146","Bourgeon Partners LP","US Dollar",NA,"FHUSA04GSI","Alternative","HF U.S. Long/Short Equity",NA,"Fundamental Long/Short US Equity Hedge F","United States","Registered Hedge Fund","Bourgeon Capital Management LLC","Bourgeon",1999-12-31,2017-07-26,0,NA,"[1999-12-31 -- 2017-07-26] John Zaro",NA,NA,"S&P 500 Composite PR USD",2017-02-28,8668430,NA,NA,2009-12-31,NA,NA,NA,NA,NA,12,250000,"Monetary",NA,NA,1.5,NA,20,"There will be no performance fee unless past high water mark.",0,NA,"Yes",NA
"147","First Eagle Pacific Fund, Ltd. A","US Dollar","KYG3467M1042","FHUSA04GGJ","Alternative","HF Asia/Pacific Long/Short Equity","Founded in Europe, the firm moved its headquarters to New York City in 1937 but has always maintained a world-wide frame of reference. We are committed to nurturing an investment-centric culture with a long-term global perspective that reflects our extensive international business experience. We view ourselves as a firm of investors, not of asset-gatherers, and in the aggregate, the Arnhold family and key employees are the largest fee-paying investors across the First Eagle strategies. Our interests are closely aligned with those of our clients, and we measure success by the same standard: consistently strong long-term performance. 

First Eagle strives at all times to preserve the high standards that we have maintained over our 150-year history: a record of integrity, a work environment that fosters excellence and dedication, and the earned respect of our clients and our peers.","Developed Asia Equity-o","Cayman Islands","Corporation","First Eagle Investment Mgt, LLC","First Eagle",2002-02-01,2017-09-22,0,NA,"[2002-02-01 -- 2017-09-22] Lawrence Ioffredo",NA,NA,"MSCI Pacific PR USD",2016-03-31,92228898,NA,NA,NA,NA,NA,NA,NA,NA,0,1e+05,"Monetary","No",0,1.5,1.5,15,NA,NA,NA,"Yes",NA
"148","Five Corners Partners LP","US Dollar",NA,"FHUSA04H5N","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity","United States","Partnership (3C1)","Five Corners Partners LP","Five Corners Partners",1999-07-16,NA,1,"Kevin L. Daly","[1999-07-16 -- ] Kevin L. Daly",21.17,21.17,"S&P 500 Sec/Industrials TR USD",2014-12-31,99500000,2020-06-30,47200000,2006-12-31,NA,NA,NA,NA,1999-07-16,0,250000,"Monetary","Yes",0,1,1,20,NA,NA,NA,"Yes",NA
"149","FJH Absolute Return Fund LP","US Dollar",NA,"FHUSA04CQS","Alternative","HF Equity Market Neutral","HCM makes money from good old-fashioned stock picking, not technical quantitative models (“black boxes”) or complicated credit bets. HCM’s stock ideas are centered on a relatively limited number of investment themes (typically 4-8) enabling the firm to be early identifiers of change (whether at a company, industry, sector, market or other level). We capitalize on the change by buying companies that will benefit and selling or going short companies that will be hurt from the change. 
 
Our primary goal is generating extraordinarily high rates of return. In the “no free lunch” world of investment management, high returns must come with higher levels of volatility. We view volatility as a two-sided coin – one side being “good” upside volatility (which most investors do not object to) and the other side being “bad” downside volatility (which most investors object to). What HCM has succeeded in doing is capturing a disproportionate share (historically better than 2:1) of the “good” over the “bad.” In investment parlance, HCM investors have in years past received a lot of “alpha” for some “beta.”
 
Because of HCM’s unique stock selection process (investment themes and use of hurdles, driven by a 30-year industry veteran), HCM’s investment returns generally have a low correlation to the market. Hence, by including HCM in its stable of managers (which often include passive managers), an investor may increase diversification and thus improve the risk-return profile of its total overall portfolio. We would encourage prospective investors to analyze whether including HCM in their stable of managers improves the risk-return profile of their entire portfolio. Also, HCM’s west coast location often affords us a unique investment perspective (resulting in portfolios not created with consensus thinking) and is another source of diversification when selecting investment managers.","Equity Arbitrage-o","United States","Partnership (3C1)","Husic Capital Management","Husic Capital Management",1997-08-01,2015-06-01,0,NA,"[1997-08-01 -- 2015-06-01] Frank J. Husic",NA,NA,"USTREAS Stat US T-Bill 90 Day TR",2015-05-31,333264,NA,NA,2006-12-31,2006-12-31,200,NA,NA,NA,0,1e+06,"Monetary","No",0,1,1,20,NA,NA,NA,"No",NA
"150","FJH Associates II LP","US Dollar",NA,"FHUSA04CQR","Alternative","HF U.S. Long/Short Equity","HCM makes money from good old-fashioned stock picking, not technical quantitative models (“black boxes”) or complicated credit bets. HCM’s stock ideas are centered on a relatively limited number of investment themes (typically 4-8) enabling the firm to be early identifiers of change (whether at a company, industry, sector, market or other level). We capitalize on the change by buying companies that will benefit and selling or going short companies that will be hurt from the change. 
 
Our primary goal is generating extraordinarily high rates of return. In the “no free lunch” world of investment management, high returns must come with higher levels of volatility. We view volatility as a two-sided coin – one side being “good” upside volatility (which most investors do not object to) and the other side being “bad” downside volatility (which most investors object to). What HCM has succeeded in doing is capturing a disproportionate share (historically better than 2:1) of the “good” over the “bad.” In investment parlance, HCM investors have in years past received a lot of “alpha” for some “beta.”
 
Because of HCM’s unique stock selection process (investment themes and use of hurdles, driven by a 30-year industry veteran), HCM’s investment returns generally have a low correlation to the market. Hence, by including HCM in its stable of managers (which often include passive managers), an investor may increase diversification and thus improve the risk-return profile of its total overall portfolio. We would encourage prospective investors to analyze whether including HCM in their stable of managers improves the risk-return profile of their entire portfolio. Also, HCM’s west coast location often affords us a unique investment perspective (resulting in portfolios not created with consensus thinking) and is another source of diversification when selecting investment managers.","U.S. Equity-o","United States","Partnership (3C1)","Husic Capital Management","Husic Capital Management",1997-01-01,2015-08-31,0,NA,"[1997-01-01 -- 2015-08-31] Frank J. Husic",NA,NA,"S&P 500 PR",2015-08-31,1668721,NA,NA,2006-12-31,NA,NA,NA,NA,NA,0,1e+06,"Monetary","No",0,1,1,20,NA,0,NA,"Yes",NA
"151","FPC Long Short Tax Exempt Fund","US Dollar",NA,"FHUSA04FMH","Alternative","HF U.S. Long/Short Equity","Falcon Point’s business objective is to build a highly successful investment organization which provides its clients with strong risk-adjusted returns over time by focusing on the least efficient area of the market, smaller capitalization stocks. The firm’s current focus is developing the institutional client base. Cedar Partners, ltd. has been retained to assist the firm in its nationwide sales and marketing efforts.

The firm’s highly experienced investment team, focused portfolio approach, and longer term investment horizon allows us to manage significantly more assets with our current research staff. Investment personnel will be added to the extent that highly qualified individuals are found who are comfortable with Falcon Point’s investment style and would enhance the quality of the research product. Back office staff and client services personnel will be added on a proactive basis to ensure the firm continues to offer superior client services.","U.S. Equity-o","United States","Partnership (3C7)","Falcon Point Capital, LLC","Falcon Point Capital",1995-07-01,2010-07-27,0,NA,"[1995-07-01 -- 2010-07-27] James A. Bitzer;[1995-07-01 -- 2010-07-27] Kelly J. Barlow;",NA,NA,"Russell 2000 TR USD",2009-12-31,3790160,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary","Yes",0,1,1,20,NA,0,0,"Yes",NA
"152","Brasada Absolute Return Fund, LP","US Dollar",NA,"F00000H58P","Alternative","HF U.S. Long/Short Equity",NA,"Value Opportunities-o","United States","Partnership (3C1)","Brasada Capital Management Lp","Brasada Capital Management",2009-01-02,2013-06-28,0,NA,"[2009-01-02 -- 2013-06-28] Robert Leslie",NA,NA,NA,2013-05-31,15494817,NA,NA,2009-12-31,NA,NA,NA,NA,NA,12,1e+06,"Monetary",NA,NA,1.5,NA,20,NA,2,NA,"Yes",NA
"153","Brasada Long-Short Equity Fund, LP","US Dollar",NA,"F00000H58O","Alternative","HF U.S. Long/Short Equity",NA,"long/short equity","United States","Partnership (3C1)","Brasada Capital Management Lp","Brasada Capital Management",2009-01-02,NA,1,"Gabe Birdsall","[2009-01-02 -- ] Gabe Birdsall",11.67,11.67,NA,2020-07-31,21273497,2020-07-31,21273497,NA,NA,NA,NA,"Male",2009-01-02,0,1e+06,"Monetary",NA,NA,1.5,NA,20,NA,2,NA,"Yes",NA
"154","Broadmark Tactical Plus Strategy","US Dollar","BMG173851087","FOUSA07CG6","Alternative","HF U.S. Long/Short Equity",NA,"Long/Short Equity","United States","Corporation","Broadmark Asset Management LLC","Broadmark",2006-06-01,NA,1,"Christopher J. Guptill;Richard P. Damico;","[2006-06-01 -- ] Christopher J. Guptill;[2006-06-01 -- ] Richard P. Damico;",14.25,14.25,NA,2016-12-31,80737844,2020-08-31,77080000,NA,NA,NA,NA,NA,2006-06-01,0,5e+05,"Monetary",NA,NA,1,NA,20,NA,NA,0,"Yes",NA
"155","Broadmark Value Hedged, L.P.","US Dollar",NA,"FOUSA06AZR","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Broadmark Asset Management LLC","Broadmark",2006-10-01,2010-05-26,0,NA,"[2006-10-01 -- 2010-05-26] Christopher J. Guptill;[2006-10-01 -- 2010-05-26] Richard P. Damico;",NA,NA,NA,2010-02-28,31200000,NA,NA,NA,2006-12-31,150,NA,NA,NA,0,5e+05,"Monetary","Yes",NA,2,2,20,NA,NA,NA,"Yes",NA
"156","Galileo Capital Management, LP","US Dollar",NA,"FOUSA05L3I","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Galileo Capital Management LP",NA,2004-04-02,2013-08-29,0,NA,"[2004-04-02 -- 2013-08-29] John Collins",NA,NA,"Russell 2000 TR USD",2012-06-30,9e+06,NA,NA,2006-12-31,NA,NA,NA,NA,NA,12,250000,"Monetary","Yes",0,1,1,20,NA,NA,NA,"Yes",NA
"157","Bryn Mawr Capital, L.P.","US Dollar",NA,"FOUSA08ZJW","Alternative","HF Global Long/Short Equity",NA,"Market Neutral-o","United States","Partnership (3C1)","Bryn Mawr Capital Management Inc",NA,1992-01-01,2015-12-31,0,NA,NA,NA,NA,"HFRI EH Equity Market Neutral USD",2015-06-30,85843110,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,"Monetary",NA,NA,2,NA,20,NA,NA,NA,"Yes",NA
"158","GAM Japan Equity Hedge USD Open","US Dollar","VGG3720K1012","FHUSA04FBF","Alternative","HF Asia/Pacific Long/Short Equity",NA,"GAM Japan Equity Hedge-o","British Virgin Islands","Corporation","GAM Sterling Management Limited","GAM",1998-06-08,2012-02-13,0,NA,"[1998-06-08 -- 2011-06-30] Lesley Kaye;[2011-07-01 -- 2012-02-29] Ben Williams;",NA,NA,"TOPIX PR JPY",2012-01-31,2391488,NA,NA,NA,2006-12-31,75,NA,NA,NA,0,10000,"Monetary","Yes",0,1.4,1.4,20,NA,NA,NA,"Yes",NA
"159","GAM Multi-North America Inc.USD Special","US Dollar","VGG3724Q1046","FOUSA05L3O","Alternative","HF Fund of Funds - Equity",NA,"FOF - Multi-North America-o","British Virgin Islands","Corporation","GAM Sterling Management Limited","GAM",1995-12-11,2011-02-01,0,NA,"[2008-05-01 -- 2011-02-01] Jeffrey Rose;[2008-05-01 -- 2010-05-31] Amir Madden;",NA,NA,NA,2010-09-30,85257756,NA,NA,NA,2006-12-31,35,NA,NA,NA,0,25000,"Monetary","Yes",0,1.76,1.76,0,NA,NA,NA,"No",NA
"160","C&O Investment Partnership LP","US Dollar",NA,"FHUSA04GV4","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Caldwell & Orkin Inc / ADV","Caldwell & Orkin",1994-01-03,2017-10-31,0,NA,NA,NA,NA,NA,2015-12-31,46719296,NA,NA,NA,NA,NA,NA,NA,NA,12,1e+06,"Monetary",NA,NA,1,NA,10,"10% fee on net profits up to 25%, 10% fee on net profits that exceed 25%",0,NA,"Yes",NA
